Timestamp,Tournament ID,Tournament Name,Event ID,Event Name,Set ID,Game Number,Stage Name,Winner ID,Loser ID,Winner Name,Loser Name,Winner Character,Loser Character
1544378400,106639,2GG: First Strike,247703,Ultimate Singles,17494294,0,Pokémon Stadium 2,2359771,2349517,ShadowWarrie,SandwichSultan,Richter,Pokemon Trainer
1544378400,106639,2GG: First Strike,247703,Ultimate Singles,17494294,1,Battlefield,2349517,2359771,SandwichSultan,ShadowWarrie,Mewtwo,Richter
1544378400,106639,2GG: First Strike,247703,Ultimate Singles,17494294,2,Smashville,2349517,2359771,SandwichSultan,ShadowWarrie,Mewtwo,Richter
1544378400,106639,2GG: First Strike,247703,Ultimate Singles,17494298,0,Smashville,2359926,2349517,UCM | DOR,SandwichSultan,Cloud,Pokemon Trainer
1544378400,106639,2GG: First Strike,247703,Ultimate Singles,17494298,1,Final Destination,2359926,2349517,UCM | DOR,SandwichSultan,Cloud,Pokemon Trainer
1544378400,106639,2GG: First Strike,247703,Ultimate Singles,17494299,0,Smashville,2344755,2347964,Tokoyami,SB | Scribe,Wolf,Chrom
1544378400,106639,2GG: First Strike,247703,Ultimate Singles,17494299,1,Battlefield,2344755,2347964,Tokoyami,SB | Scribe,Wolf,Chrom
1544378400,106639,2GG: First Strike,247703,Ultimate Singles,17494300,0,Smashville,2359926,2351395,UCM | DOR,155 | Shrek,Cloud,Ness
1544378400,106639,2GG: First Strike,247703,Ultimate Singles,17494300,1,Battlefield,2351395,2359926,155 | Shrek,UCM | DOR,Ness,Cloud
1544378400,106639,2GG: First Strike,247703,Ultimate Singles,17494300,2,Town and City,2351395,2359926,155 | Shrek,UCM | DOR,Ness,Cloud
1544378400,106639,2GG: First Strike,247703,Ultimate Singles,17494301,0,Battlefield,2342582,2344755,LuxJay,Tokoyami,Pokemon Trainer,Wolf
1544378400,106639,2GG: First Strike,247703,Ultimate Singles,17494301,1,Yoshi's Island,2342582,2344755,LuxJay,Tokoyami,Pokemon Trainer,Wolf
1544378400,106639,2GG: First Strike,247703,Ultimate Singles,17494305,0,Pokémon Stadium 2,2354975,2344699,Nebula | Barnard's Loop,Glitzille,King K. Rool,Young Link
1544378400,106639,2GG: First Strike,247703,Ultimate Singles,17494305,1,Battlefield,2354975,2344699,Nebula | Barnard's Loop,Glitzille,King K. Rool,Cloud
1544378400,106639,2GG: First Strike,247703,Ultimate Singles,17494313,0,Pokémon Stadium 2,2359923,2342090,FreshKing,Alert_,King K. Rool,Richter
1544378400,106639,2GG: First Strike,247703,Ultimate Singles,17494313,1,Kalos Pokémon League,2359923,2342090,FreshKing,Alert_,King K. Rool,Richter
1544378400,106639,2GG: First Strike,247703,Ultimate Singles,17494320,0,Pokémon Stadium 2,2359679,2354975,Wisdom,Nebula | Barnard's Loop,Duck Hunt,King K. Rool
